user_id,date,habit,completed,mood,dayofweek,is_weekend,week_num,day_num,roll7_rate,roll14_rate,roll3_rate,streak,days_since_miss,weekend_penalty,habit_age,will_drop
synthetic_001,2016-03-12,Sedentary_Limit,0,9,5,1,10,1,0.0,0.0,0.0,0,0,0.0714285714285714,1,0
synthetic_001,2016-03-13,Sedentary_Limit,1,7,6,1,10,2,0.0,0.0,0.0,0,1,0.0714285714285714,2,0
synthetic_001,2016-03-14,Sedentary_Limit,1,10,0,0,11,3,0.5,0.5,0.5,1,0,0.0714285714285714,3,0
synthetic_001,2016-03-15,Sedentary_Limit,1,9,1,0,11,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,0.0714285714285714,4,0
synthetic_001,2016-03-16,Sedentary_Limit,1,5,2,0,11,5,0.75,0.75,1.0,3,2,0.0714285714285714,5,0
synthetic_001,2016-03-17,Sedentary_Limit,1,10,3,0,11,6,0.8,0.8,1.0,4,3,0.0714285714285714,6,0
synthetic_001,2016-03-18,Sedentary_Limit,1,7,4,0,11,7,0.8333333333333334,0.8333333333333334,1.0,5,4,0.0714285714285714,7,0
synthetic_001,2016-03-19,Sedentary_Limit,1,7,5,1,11,8,0.8571428571428571,0.8571428571428571,1.0,6,5,0.0714285714285714,8,0
synthetic_001,2016-03-20,Sedentary_Limit,0,7,6,1,11,9,1.0,0.875,1.0,7,6,0.0714285714285714,9,0
synthetic_001,2016-03-21,Sedentary_Limit,1,6,0,0,12,10,0.8571428571428571,0.7777777777777778,0.6666666666666666,0,7,0.0714285714285714,10,0
synthetic_001,2016-03-22,Sedentary_Limit,0,7,1,0,12,11,0.8571428571428571,0.8,0.6666666666666666,1,0,0.0714285714285714,11,0
synthetic_001,2016-03-23,Sedentary_Limit,0,5,2,0,12,12,0.7142857142857143,0.7272727272727273,0.3333333333333333,0,1,0.0714285714285714,12,0
synthetic_001,2016-03-24,Sedentary_Limit,1,8,3,0,12,13,0.5714285714285714,0.6666666666666666,0.3333333333333333,0,0,0.0714285714285714,13,0
synthetic_001,2016-03-25,Sedentary_Limit,0,4,4,0,12,14,0.5714285714285714,0.6923076923076923,0.3333333333333333,1,0,0.0714285714285714,14,0
synthetic_001,2016-03-26,Sedentary_Limit,1,4,5,1,12,15,0.42857142857142855,0.6428571428571429,0.3333333333333333,0,1,0.0714285714285714,15,0
synthetic_001,2016-03-27,Sedentary_Limit,1,4,6,1,12,16,0.42857142857142855,0.7142857142857143,0.6666666666666666,1,0,0.0714285714285714,16,0
synthetic_001,2016-03-28,Sedentary_Limit,0,8,0,0,13,17,0.5714285714285714,0.7142857142857143,0.6666666666666666,2,1,0.0714285714285714,17,0
synthetic_001,2016-03-29,Sedentary_Limit,0,8,1,0,13,18,0.42857142857142855,0.6428571428571429,0.6666666666666666,0,2,0.0714285714285714,18,0
synthetic_001,2016-03-30,Sedentary_Limit,1,10,2,0,13,19,0.42857142857142855,0.5714285714285714,0.3333333333333333,0,0,0.0714285714285714,19,0
synthetic_001,2016-03-31,Sedentary_Limit,1,9,3,0,13,20,0.5714285714285714,0.5714285714285714,0.3333333333333333,1,0,0.0714285714285714,20,0
synthetic_001,2016-04-01,Sedentary_Limit,1,9,4,0,13,21,0.5714285714285714,0.5714285714285714,0.6666666666666666,2,1,0.0714285714285714,21,0
synthetic_001,2016-04-02,Sedentary_Limit,1,9,5,1,13,22,0.7142857142857143,0.5714285714285714,1.0,3,2,0.0714285714285714,22,1
synthetic_001,2016-04-03,Sedentary_Limit,0,10,6,1,13,23,0.7142857142857143,0.5714285714285714,1.0,4,3,0.0714285714285714,23,1
synthetic_001,2016-04-04,Sedentary_Limit,1,6,0,0,14,24,0.5714285714285714,0.5714285714285714,0.6666666666666666,0,4,0.0714285714285714,24,0
synthetic_001,2016-04-05,Sedentary_Limit,1,4,1,0,14,25,0.7142857142857143,0.5714285714285714,0.6666666666666666,1,0,0.0714285714285714,25,1
synthetic_001,2016-04-06,Sedentary_Limit,0,10,2,0,14,26,0.8571428571428571,0.6428571428571429,0.6666666666666666,2,1,0.0714285714285714,26,1
synthetic_001,2016-04-07,Sedentary_Limit,0,7,3,0,14,27,0.7142857142857143,0.6428571428571429,0.6666666666666666,0,2,0.0714285714285714,27,1
synthetic_001,2016-04-08,Sedentary_Limit,0,5,4,0,14,28,0.5714285714285714,0.5714285714285714,0.3333333333333333,0,0,0.0714285714285714,28,0
synthetic_001,2016-04-09,Sedentary_Limit,0,4,5,1,14,29,0.42857142857142855,0.5714285714285714,0.0,0,0,0.0714285714285714,29,0
synthetic_001,2016-04-10,Sedentary_Limit,0,6,6,1,14,30,0.2857142857142857,0.5,0.0,0,0,0.0714285714285714,30,0
synthetic_001,2016-03-12,Sleep,1,6,5,1,10,1,0.0,0.0,0.0,0,0,0.17142857142857137,1,0
synthetic_001,2016-03-13,Sleep,1,6,6,1,10,2,1.0,1.0,1.0,1,1,0.17142857142857137,2,0
synthetic_001,2016-03-14,Sleep,0,9,0,0,11,3,1.0,1.0,1.0,2,2,0.17142857142857137,3,0
synthetic_001,2016-03-15,Sleep,1,7,1,0,11,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,3,0.17142857142857137,4,0
synthetic_001,2016-03-16,Sleep,1,7,2,0,11,5,0.75,0.75,0.6666666666666666,1,0,0.17142857142857137,5,0
synthetic_001,2016-03-17,Sleep,0,10,3,0,11,6,0.8,0.8,0.6666666666666666,2,1,0.17142857142857137,6,0
synthetic_001,2016-03-18,Sleep,1,10,4,0,11,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,2,0.17142857142857137,7,0
synthetic_001,2016-03-19,Sleep,0,4,5,1,11,8,0.7142857142857143,0.7142857142857143,0.6666666666666666,1,0,0.17142857142857137,8,0
synthetic_001,2016-03-20,Sleep,1,10,6,1,11,9,0.5714285714285714,0.625,0.3333333333333333,0,1,0.17142857142857137,9,0
synthetic_001,2016-03-21,Sleep,1,4,0,0,12,10,0.5714285714285714,0.6666666666666666,0.6666666666666666,1,0,0.17142857142857137,10,0
synthetic_001,2016-03-22,Sleep,0,10,1,0,12,11,0.7142857142857143,0.7,0.6666666666666666,2,1,0.17142857142857137,11,0
synthetic_001,2016-03-23,Sleep,0,7,2,0,12,12,0.5714285714285714,0.6363636363636364,0.6666666666666666,0,2,0.17142857142857137,12,0
synthetic_001,2016-03-24,Sleep,0,7,3,0,12,13,0.42857142857142855,0.5833333333333334,0.3333333333333333,0,0,0.17142857142857137,13,0
synthetic_001,2016-03-25,Sleep,1,7,4,0,12,14,0.42857142857142855,0.5384615384615384,0.0,0,0,0.17142857142857137,14,0
synthetic_001,2016-03-26,Sleep,0,9,5,1,12,15,0.42857142857142855,0.5714285714285714,0.3333333333333333,1,0,0.17142857142857137,15,0
synthetic_001,2016-03-27,Sleep,1,5,6,1,12,16,0.42857142857142855,0.5,0.3333333333333333,0,1,0.17142857142857137,16,0
synthetic_001,2016-03-28,Sleep,0,9,0,0,13,17,0.42857142857142855,0.5,0.6666666666666666,1,0,0.17142857142857137,17,0
synthetic_001,2016-03-29,Sleep,1,4,1,0,13,18,0.2857142857142857,0.5,0.3333333333333333,0,1,0.17142857142857137,18,0
synthetic_001,2016-03-30,Sleep,1,4,2,0,13,19,0.42857142857142855,0.5,0.6666666666666666,1,0,0.17142857142857137,19,0
synthetic_001,2016-03-31,Sleep,1,7,3,0,13,20,0.5714285714285714,0.5,0.6666666666666666,2,1,0.17142857142857137,20,0
synthetic_001,2016-04-01,Sleep,1,4,4,0,13,21,0.7142857142857143,0.5714285714285714,1.0,3,2,0.17142857142857137,21,1
synthetic_001,2016-04-02,Sleep,0,4,5,1,13,22,0.7142857142857143,0.5714285714285714,1.0,4,3,0.17142857142857137,22,1
synthetic_001,2016-04-03,Sleep,0,4,6,1,13,23,0.7142857142857143,0.5714285714285714,0.6666666666666666,0,4,0.17142857142857137,23,1
synthetic_001,2016-04-04,Sleep,1,5,0,0,14,24,0.5714285714285714,0.5,0.3333333333333333,0,0,0.17142857142857137,24,0
synthetic_001,2016-04-05,Sleep,0,7,1,0,14,25,0.7142857142857143,0.5,0.3333333333333333,1,0,0.17142857142857137,25,0
synthetic_001,2016-04-06,Sleep,1,10,2,0,14,26,0.5714285714285714,0.5,0.3333333333333333,0,1,0.17142857142857137,26,0
synthetic_001,2016-04-07,Sleep,0,9,3,0,14,27,0.5714285714285714,0.5714285714285714,0.6666666666666666,1,0,0.17142857142857137,27,0
synthetic_001,2016-04-08,Sleep,0,4,4,0,14,28,0.42857142857142855,0.5714285714285714,0.3333333333333333,0,1,0.17142857142857137,28,0
synthetic_001,2016-04-09,Sleep,0,8,5,1,14,29,0.2857142857142857,0.5,0.3333333333333333,0,0,0.17142857142857137,29,0
synthetic_001,2016-04-10,Sleep,0,10,6,1,14,30,0.2857142857142857,0.5,0.0,0,0,0.17142857142857137,30,0
synthetic_001,2016-03-12,Steps,0,5,5,1,10,1,0.0,0.0,0.0,0,0,0.28095238095238095,1,0
synthetic_001,2016-03-13,Steps,0,9,6,1,10,2,0.0,0.0,0.0,0,1,0.28095238095238095,2,0
synthetic_001,2016-03-14,Steps,1,6,0,0,11,3,0.0,0.0,0.0,0,0,0.28095238095238095,3,0
synthetic_001,2016-03-15,Steps,0,9,1,0,11,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0,0.28095238095238095,4,0
synthetic_001,2016-03-16,Steps,1,7,2,0,11,5,0.25,0.25,0.3333333333333333,0,1,0.28095238095238095,5,0
synthetic_001,2016-03-17,Steps,0,7,3,0,11,6,0.4,0.4,0.6666666666666666,1,0,0.28095238095238095,6,0
synthetic_001,2016-03-18,Steps,0,4,4,0,11,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,1,0.28095238095238095,7,0
synthetic_001,2016-03-19,Steps,1,9,5,1,11,8,0.2857142857142857,0.2857142857142857,0.3333333333333333,0,0,0.28095238095238095,8,0
synthetic_001,2016-03-20,Steps,0,4,6,1,11,9,0.42857142857142855,0.375,0.3333333333333333,1,0,0.28095238095238095,9,0
synthetic_001,2016-03-21,Steps,1,7,0,0,12,10,0.42857142857142855,0.3333333333333333,0.3333333333333333,0,1,0.28095238095238095,10,0
synthetic_001,2016-03-22,Steps,0,10,1,0,12,11,0.42857142857142855,0.4,0.6666666666666666,1,0,0.28095238095238095,11,0
